Measure_code,AIRA_SIMPLE,COUNTRY_REGION
AIRA_14,NO,ISL
AIRA_14,NO,IRL
AIRA_14,YES,ISR
AIRA_14,YES,ITA
AIRA_14,NO,KAZ
AIRA_14,NO,KGZ
AIRA_14,NO,LVA
AIRA_14,NO,LTU
AIRA_14,NO,LUX
AIRA_14,YES,MLT
AIRA_14,NO,MNE
AIRA_14,YES,NLD
AIRA_14,NO,MKD
AIRA_14,YES,NOR
AIRA_14,NO,POL
AIRA_14,NO,PRT
AIRA_14,NO,MDA
AIRA_14,NO,ROU
AIRA_14,YES,RUS
AIRA_14,NO,SMR
AIRA_14,NO,SRB
AIRA_14,NO,SVK
AIRA_14,YES,SVN
AIRA_14,NO,ESP
AIRA_14,YES,SWE
AIRA_14,NO,CHE
AIRA_14,YES,TUR
AIRA_14,NO,TJK
AIRA_14,YES,UKR
AIRA_14,NO,GBR
AIRA_14,NO,UZB
AIRA_14,,BIH
AIRA_14,,MCO
AIRA_14,,TKM
AIRA_15,NO,ALB
AIRA_15,YES,AND
AIRA_15,NO,ARM
AIRA_15,NO,AUT
AIRA_15,NO,AZE
AIRA_15,NO,BLR
AIRA_15,NO,BEL
AIRA_15,NO,BGR
AIRA_15,NO,HRV
AIRA_15,NO,CYP
AIRA_15,NO,CZE
AIRA_15,NO,DNK
AIRA_15,YES,EST
AIRA_15,NO,FIN
AIRA_15,NO,FRA
AIRA_15,NO,GEO
AIRA_15,NO,DEU
AIRA_15,YES,GRC
AIRA_15,NO,HUN
AIRA_15,NO,ISL
AIRA_15,NO,IRL
AIRA_15,YES,ISR
AIRA_15,NO,ITA
AIRA_15,YES,KAZ
AIRA_15,NO,KGZ
AIRA_15,NO,LVA
AIRA_15,NO,LTU
AIRA_15,NO,LUX
AIRA_15,YES,MLT
AIRA_15,NO,MNE
AIRA_15,YES,NLD
AIRA_15,NO,MKD
AIRA_15,YES,NOR
AIRA_15,NO,POL
AIRA_15,NO,PRT
AIRA_15,YES,MDA
AIRA_15,NO,ROU
AIRA_15,YES,RUS
AIRA_15,NO,SMR
AIRA_15,NO,SRB
AIRA_15,NO,SVK
AIRA_15,YES,SVN
AIRA_15,NO,ESP
AIRA_15,NO,SWE
AIRA_15,NO,CHE
AIRA_15,NO,TUR
AIRA_15,NO,TJK
AIRA_15,NO,UKR
AIRA_15,NO,GBR
AIRA_15,NO,UZB
AIRA_15,,BIH
AIRA_15,,MCO
AIRA_15,,TKM
AIRA_16,YES,ALB
AIRA_16,YES,AND
AIRA_16,DNK,ARM
AIRA_16,YES,AUT
AIRA_16,NO,AZE
AIRA_16,NO,BLR
AIRA_16,YES,BEL
AIRA_16,DNK,BGR
AIRA_16,DNK,HRV
AIRA_16,NO,CYP
AIRA_16,YES,CZE
AIRA_16,NO,DNK
AIRA_16,YES,EST
AIRA_16,NO,FIN
AIRA_16,YES,FRA
AIRA_16,DNK,GEO
AIRA_16,YES,DEU
AIRA_16,DNK,GRC
AIRA_16,NO,HUN
AIRA_16,NO,ISL
AIRA_16,NO,IRL
AIRA_16,YES,ISR
AIRA_16,NO,ITA
AIRA_16,NO,KAZ
AIRA_16,NO,KGZ
AIRA_16,NO,LVA
AIRA_16,NO,LTU
AIRA_16,YES,LUX
AIRA_16,YES,MLT
AIRA_16,YES,MNE
AIRA_16,YES,NLD
AIRA_16,DNK,MKD
AIRA_16,YES,NOR
AIRA_16,NO,POL
AIRA_16,DNK,PRT
AIRA_16,NO,MDA
AIRA_16,YES,ROU
AIRA_16,YES,RUS
AIRA_16,NO,SMR
AIRA_16,DNK,SRB
AIRA_16,NO,SVK
AIRA_16,DNK,SVN
AIRA_16,YES,ESP
AIRA_16,YES,SWE
AIRA_16,DNK,CHE
AIRA_16,YES,TUR
AIRA_16,DNK,TJK
AIRA_16,YES,UKR
AIRA_16,NO,GBR
AIRA_16,NO,UZB
AIRA_16,,BIH
